## Theorem & Closed-Mechanism -> Constants Edges
## Generated by tools/harvest_theorem_closure_edges.py
## Source: tools/knowledge.db (theorems.statement + closed_mechanisms.closed_by)
## Vocabulary: computations/_shared/canonical_constants.py public names
## Match rule: word-boundary regex (\b<name>\b) AND vocab membership
## Edge type: bounds (theorem/closure cites a constant in its statement/note)

[EDGE:bounds] theorems:proven_66 -> constants:M_Z  # theorem statement cites M_Z (Step 2 (substitution): at τ_fold = 0.190, 3/(3 + e^{12·0.190}) = 0.234803 exactly; M_Z + M_H_framework = 91.1876 + 97.0  | Step 2 (substitution): at τ)
[EDGE:bounds] theorems:proven_1462 -> constants:E_cond  # theorem statement cites E_cond ([NEW S44] Euler deficit | deficit/ | E_cond | = 1.000 | RETRACTED: actual 0.843. Shannon/FD mismatch. | 45)
[EDGE:bounds] theorems:proven_1473 -> constants:G_N  # theorem statement cites G_N (Sakharov G_N, CDM construction, 61/20 exact, epsilon_H invariance, 31 computations | 44 | Sakharov G_N, CDM construction, 61/20 exact, epsilon_H invar)
[EDGE:bounds] theorems:proven_1474 -> constants:sigma_8  # theorem statement cites sigma_8 (alpha_s theorem (5 proofs), Leggett Q=670k, phi crossing, Type D, sigma_8, 14 closures | 50 | alpha_s theorem (5 proofs), Leggett Q=670k, phi crossing)
[EDGE:bounds] theorems:proven_1477 -> constants:T_acoustic  # theorem statement cites T_acoustic (HESS-40 (27th equilibrium closure), T_acoustic agreement (0.7%), 11 gates | 40 | HESS-40 (27th equilibrium closure), T_acoustic agreement (0.7%), 11 g)
[EDGE:bounds] theorems:proven_1486 -> constants:E_cond  # theorem statement cites E_cond (BCS | Pairing | **PASS** | E_cond = -0.115 | 34, 35)
[EDGE:bounds] theorems:proven_1492 -> constants:S_inst  # theorem statement cites S_inst (Dense instanton gas S_inst = 0.069 | Tunneling 93%, barrier_0d = 0.0047 | 37)
[EDGE:bounds] theorems:proven_1492 -> constants:barrier_0d  # theorem statement cites barrier_0d (Dense instanton gas S_inst = 0.069 | Tunneling 93%, barrier_0d = 0.0047 | 37)
[EDGE:bounds] theorems:proven_1494 -> constants:E_cond  # theorem statement cites E_cond (BCS-BEC crossover E_vac/E_cond = 28.8 | g*N(E_F) = 2.18 | 37)
[EDGE:bounds] theorems:proven_1495 -> constants:omega_PV  # theorem statement cites omega_PV (BCS four-frequency architecture | omega_tau >> omega_att > omega_PV >> Gamma_L | 37-38)
[EDGE:bounds] theorems:proven_1495 -> constants:omega_att  # theorem statement cites omega_att (BCS four-frequency architecture | omega_tau >> omega_att > omega_PV >> Gamma_L | 37-38)
[EDGE:bounds] theorems:proven_1495 -> constants:omega_tau  # theorem statement cites omega_tau (BCS four-frequency architecture | omega_tau >> omega_att > omega_PV >> Gamma_L | 37-38)
[EDGE:bounds] theorems:proven_1501 -> constants:M_KK  # theorem statement cites M_KK (Leggett mode omega_L1 = 0.070 M_KK | Sharp (Q=670,000), undamped | 48-50)
[EDGE:bounds] theorems:proven_1501 -> constants:omega_L1  # theorem statement cites omega_L1 (Leggett mode omega_L1 = 0.070 M_KK | Sharp (Q=670,000), undamped | 48-50)
[EDGE:bounds] theorems:proven_1502 -> constants:omega_L1  # theorem statement cites omega_L1 (Leggett IS 3He dipolar analog | omega_L1/m_required = 1.18 | 49)
[EDGE:bounds] theorems:proven_1507 -> constants:G_N  # theorem statement cites G_N (Sakharov G_N from KK spectrum | 0.36 OOM at Lambda=10*M_KK | 44)
[EDGE:bounds] theorems:proven_1507 -> constants:M_KK  # theorem statement cites M_KK (Sakharov G_N from KK spectrum | 0.36 OOM at Lambda=10*M_KK | 44)
[EDGE:bounds] theorems:proven_1512 -> constants:sigma_8  # theorem statement cites sigma_8 (sigma_8 = 0.799 viable | Between Planck and lensing | 50)
[EDGE:bounds] theorems:proven_1518 -> constants:J_C2  # theorem statement cites J_C2 (Josephson hierarchy: J_C2=0.933, J_su2=0.059 | 16x anisotropy | 47)
[EDGE:bounds] theorems:proven_1518 -> constants:J_su2  # theorem statement cites J_su2 (Josephson hierarchy: J_C2=0.933, J_su2=0.059 | 16x anisotropy | 47)
[EDGE:bounds] theorems:proven_1524 -> constants:sigma_8  # theorem statement cites sigma_8 (sigma_8 | 0.799 | VIABLE (between Planck 0.811 and lensing ~0.77) | 50)
[EDGE:bounds] theorems:proven_1597 -> constants:M_KK  # theorem statement cites M_KK (Volovik Partition — F_Josephson = −336.6 M_KK (95.9% → vacuum); F_BCS+F_BA+F_Leggett = 14.411 M_KK (→ matter). | Volovik Partition — F_Josephson = −33)
[EDGE:bounds] theorems:proven_1637 -> constants:M_KK  # theorem statement cites M_KK (NCG-KK Irreconcilability | NCG-KK Irreconcilability | Λ_SA/M_KK = 10⁶–10¹⁵ at all tested τ | 0 (interpretive) | S30–S31)
[EDGE:bounds] theorems:proven_1679 -> constants:S_fold  # theorem statement cites S_fold (S_fold | 250,361 | Spectral action at fold)
[EDGE:bounds] theorems:proven_1683 -> constants:c_BLV  # theorem statement cites c_BLV (c_BLV | 0.485 | Fabric sound speed)
[EDGE:bounds] theorems:proven_1686 -> constants:M_KK  # theorem statement cites M_KK (M_KK | 7.429×10¹⁶ GeV | Gravity-route extraction)
[EDGE:bounds] theorems:proven_1690 -> constants:M_KK  # theorem statement cites M_KK (Δ_B3 | 0.370 M_KK | BCS gap at fold)
[EDGE:bounds] theorems:proven_1691 -> constants:M_KK  # theorem statement cites M_KK (ω_L1 | 0.138 M_KK | Leggett mode frequency)
[EDGE:bounds] theorems:proven_1692 -> constants:Q_Leggett  # theorem statement cites Q_Leggett (Q_Leggett | 18.6 | Quality factor)
[EDGE:bounds] theorems:proven_1701 -> constants:M_KK  # theorem statement cites M_KK (W6: NCG-KK Irreconcilability | Lambda_SA/M_KK = 10^6 at tau=0.21, 10^15 at tau=0.57. Irreconcilable at all tested tau for M_KK = 10^16 GeV. | S30Bb, S)
[EDGE:bounds] theorems:proven_1763 -> constants:M_KK  # theorem statement cites M_KK (Skyrmion baryogenesis | Skyrmion baryogenesis | M_skyrm = 1.27×10⁵ M_KK (22 OOM above proton mass) | S64)
[EDGE:bounds] theorems:proven_1774 -> constants:M_KK  # theorem statement cites M_KK (B-30nck | NCG-KK irreconcilable at tau~0.57 | Lambda_SA/M_KK ~ 10^15 | S30Bb)
[EDGE:bounds] theorems:proven_1775 -> constants:M_KK  # theorem statement cites M_KK (B-31nck | NCG-KK irreconcilable at tau~0.21 | Lambda_SA/M_KK ~ 10^6 | S31Ba)
[EDGE:bounds] theorems:proven_1792 -> constants:omega_tau  # theorem statement cites omega_tau (I-1 | **PASSES** (5/6 coupling ratios) | Gamma_inst/omega_tau > 3, peak 9.64 at tau=0.181 | S31Ba)
[EDGE:bounds] theorems:proven_1798 -> constants:phi_paasch  # theorem statement cites phi_paasch (phi_paasch = 1.531580 | PROVEN | At tau=0.15 (z=3.65) | S12, S22a)
[EDGE:bounds] theorems:proven_1808 -> constants:M_Z  # theorem statement cites M_Z (RGE-evolved sin^2(M_Z) = 0.231 | S30Bb | tau ~ 0.21 | YES (gauge coupling running))
[EDGE:bounds] theorems:proven_1813 -> constants:M_KK  # theorem statement cites M_KK (BCS gap at fold: Δ_B3 = 0.370 M_KK | S57-S62 | tau = 0.190 | YES (condensate))
[EDGE:bounds] theorems:proven_1816 -> constants:tau_fold  # theorem statement cites tau_fold (m_H = 127.5-131.8 GeV (Aitken-Gaussian) | S62-S66 | tau_fold region | YES (spectral action Higgs))
[EDGE:bounds] theorems:proven_1818 -> constants:Omega_DM  # theorem statement cites Omega_DM (Leggett gravitational decay | If Gamma_grav > H_0, DM sector collapses (Omega_DM h^2=0.120 meaningless) | **CRITICAL** | LEGGETT-GRAV-DECAY-67)
[EDGE:bounds] theorems:proven_1840 -> constants:M_W  # theorem statement cites M_W (Gates PASSED | ~30 | KO-dim, CPT, block-diag, phi, BCS chain (KC-1-5), I-1, KZ-NS-62, DILUTION-CC-66, TENSOR-BURST-64, Omega_DM, sin^2 theta_W, M_W, p)
[EDGE:bounds] theorems:proven_1840 -> constants:Omega_DM  # theorem statement cites Omega_DM (Gates PASSED | ~30 | KO-dim, CPT, block-diag, phi, BCS chain (KC-1-5), I-1, KZ-NS-62, DILUTION-CC-66, TENSOR-BURST-64, Omega_DM, sin^2 theta_W, M_W, p)
[EDGE:bounds] closed_mechanisms:closed_98 -> constants:v_ew  # closure note cites v_ew (RO5 | v_ew derivation path)
[EDGE:bounds] closed_mechanisms:closed_107 -> constants:E_cond  # closure note cites E_cond (Euler deficit = \ | E_cond\)
[EDGE:bounds] closed_mechanisms:closed_214 -> constants:sigma_8  # closure note cites sigma_8 (S8 tension**: No framework-derived sigma_8 prediction exists. | S8 tension**: No framework-derived sigma_8 prediction exists.)
[EDGE:bounds] closed_mechanisms:closed_254 -> constants:M_KK  # closure note cites M_KK (Naive m_gauge = g_7 * Delta = 0.535 M_KK | 15x below lower bound of 8 M_KK)
[EDGE:bounds] closed_mechanisms:closed_255 -> constants:M_KK  # closure note cites M_KK (Better estimate: m_gauge ~ epsilon * ||D_phys||/sqrt(d) = 0.123 M_KK | 65x below)
[EDGE:bounds] closed_mechanisms:closed_259 -> constants:E_cond  # closure note cites E_cond (Richardson E_Rich stabilization (continuum) | V_KK overwhelms E_cond by 670x)
[EDGE:bounds] closed_mechanisms:closed_274 -> constants:H_fold  # closure note cites H_fold (A-B parametric amplification (reheating) | All rates < H_fold by 15x-10^6x)
[EDGE:bounds] closed_mechanisms:closed_286 -> constants:sigma_8  # closure note cites sigma_8 (Volume-averaged P(k), xi(r), sigma_8, VSF, Minkowski, genus, persistent Betti | S43)
[EDGE:bounds] closed_mechanisms:closed_320 -> constants:K_FIRAS  # closure note cites K_FIRAS (Hypotheses CLOSED: 1 (Path-(KFIRAS-direct) substrate derivation of K_FIRAS). | Hypotheses CLOSED: 1 (Path-(KFIRAS-direct) substrate derivation of K_FI)
[EDGE:bounds] closed_mechanisms:closed_325 -> constants:phi_paasch  # closure note cites phi_paasch (Poschl-Teller phi_paasch (PT-RATIO-35): Zero bound states, lambda_PT 18x short | Poschl-Teller phi_paasch (PT-RATIO-35): Zero bound states, lambda_PT )
[EDGE:bounds] closed_mechanisms:closed_389 -> constants:c_BLV  # closure note cites c_BLV (Step 3 -- + BLV acoustic dilution (c_BLV)^(-3) = 8.77 | +9.47)
[EDGE:bounds] closed_mechanisms:closed_439 -> constants:phi_paasch  # closure note cites phi_paasch (Eigenvalue ratio phi in singlet | Zero phi_paasch crossings in (0,0) singlet)
[EDGE:bounds] closed_mechanisms:closed_445 -> constants:M_KK  # closure note cites M_KK (K_pivot = 2.0 M_KK (tessellation mapping for CMB scales) | BROKEN)
[EDGE:bounds] closed_mechanisms:closed_454 -> constants:phi_paasch  # closure note cites phi_paasch (phi_paasch = 1.531580 as physical prediction | DISSOLVED)
[EDGE:bounds] closed_mechanisms:closed_480 -> constants:M_KK  # closure note cites M_KK (Non-standard M_KK | CLOSED)
